@relation LazyClass

@attribute NAD_NMD REAL
@attribute WMC REAL
@attribute class {0,1}

@Data
7.0,11.0,0
8.0,23.0,0
19.0,44.0,0
15.0,60.0,0
17.0,104.0,0
19.0,58.0,0
13.0,39.0,0
23.0,182.0,0
18.0,37.0,0
10.0,30.0,0
3.0,12.0,0
3.0,7.0,0
9.0,29.0,0
9.0,46.0,0
20.0,26.0,0
36.0,167.0,0
8.0,16.0,0
6.0,14.0,0
24.0,59.0,0
21.0,45.0,0
11.0,72.0,0
40.0,98.0,0
27.0,53.0,0
7.0,7.0,0
7.0,7.0,0
10.0,14.0,0
12.0,27.0,0
4.0,5.0,0
13.0,59.0,0
3.0,3.0,0
9.0,83.0,0
2.0,2.0,0
8.0,43.0,0
4.0,4.0,0
3.0,2.0,0
3.0,4.0,0
3.0,3.0,0
3.0,4.0,0
8.0,19.0,0
2.0,2.0,0
2.0,3.0,0
2.0,2.0,0
2.0,2.0,0
5.0,18.0,0
2.0,5.0,0
12.0,7.0,0
10.0,13.0,0
46.0,322.0,0
5.0,9.0,0
2.0,3.0,0
10.0,25.0,0
4.0,4.0,0
4.0,4.0,0
6.0,4.0,0
33.0,127.0,0
4.0,2.0,0
5.0,10.0,0
89.0,59.0,0
3.0,2.0,0
6.0,26.0,0
4.0,6.0,0
3.0,4.0,0
19.0,58.0,0
10.0,17.0,0
10.0,14.0,0
9.0,121.0,0
6.0,13.0,0
28.0,171.0,0
13.0,20.0,0
5.0,11.0,0
3.0,6.0,0
36.0,230.0,0
23.0,242.0,0
3.0,18.0,0
4.0,5.0,0
5.0,4.0,0
5.0,4.0,0
4.0,6.0,0
4.0,10.0,0
4.0,6.0,0
4.0,6.0,0
4.0,17.0,0
7.0,42.0,0
4.0,6.0,0
4.0,6.0,0
4.0,6.0,0
4.0,9.0,0
4.0,6.0,0
4.0,6.0,0
4.0,10.0,0
4.0,6.0,0
4.0,8.0,0
4.0,6.0,0
4.0,4.0,0
4.0,4.0,0
4.0,6.0,0
4.0,9.0,0
4.0,6.0,0
4.0,6.0,0
4.0,6.0,0
4.0,8.0,0
4.0,6.0,0
4.0,6.0,0
4.0,11.0,0
4.0,11.0,0
4.0,7.0,0
4.0,10.0,0
4.0,9.0,0
4.0,6.0,0
4.0,6.0,0
4.0,4.0,0
4.0,10.0,0
4.0,8.0,0
4.0,11.0,0
4.0,4.0,0
4.0,7.0,0
4.0,10.0,0
4.0,9.0,0
4.0,4.0,0
4.0,4.0,0
4.0,4.0,0
4.0,6.0,0
4.0,4.0,0
4.0,10.0,0
4.0,4.0,0
4.0,4.0,0
4.0,6.0,0
4.0,4.0,0
4.0,8.0,0
4.0,6.0,0
4.0,7.0,0
4.0,8.0,0
4.0,6.0,0
4.0,8.0,0
4.0,6.0,0
4.0,8.0,0
4.0,8.0,0
4.0,6.0,0
4.0,6.0,0
4.0,6.0,0
4.0,9.0,0
5.0,10.0,0
4.0,8.0,0
4.0,8.0,0
4.0,6.0,0
4.0,6.0,0
4.0,10.0,0
4.0,19.0,0
4.0,6.0,0
4.0,10.0,0
4.0,8.0,0
4.0,8.0,0
4.0,8.0,0
4.0,8.0,0
4.0,6.0,0
5.0,4.0,0
5.0,4.0,0
5.0,4.0,0
5.0,4.0,0
16.0,31.0,0
50.0,163.0,0
6.0,7.0,0
5.0,9.0,0
18.0,31.0,0
