@relation Blob

@attribute NAD_NMD REAL
@attribute LCOM5 REAL
@attribute DataSize REAL
@attribute class {0,1}

@Data
12.0,1.3333333333333333,0,0
56.0,1.0305555554727712,0,0
13.0,1.1428571428571428,0,0
8.0,0.0,0,0
3.0,0.0,0,0
11.0,1.1666666567325592,0,0
6.0,1.5,0,0
6.0,1.5,0,0
5.0,2.0,0,0
5.0,2.0,0,0
3.0,0.0,0,0
104.0,1.012061403476094,0,0
6.0,1.5,0,0
6.0,1.5,0,0
6.0,1.5,0,0
6.0,1.5,0,0
6.0,1.5,0,0
6.0,1.5,0,0
5.0,2.0,0,0
5.0,2.0,0,0
5.0,2.0,0,0
6.0,1.5,0,0
68.0,0.9886363636363636,0,0
32.0,1.0421052630010403,0,0
8.0,1.3333333333333333,0,0
56.0,1.02,0,0
